year,station,annual_entries_exits,daily_avg_passengers
2017,584,13364.0,36.61369863013699
2017,740,13974.0,38.28493150684932
2017,619,13857.0,37.964383561643835
2017,686,11845.0,32.45205479452055
2017,588,14519.0,39.778082191780825
2017,726,13230.0,36.24657534246575
2017,780,11347.0,31.087671232876712
2017,601,13207.0,36.18356164383562
2017,696,12340.0,33.80821917808219
2017,723,12645.0,34.64383561643836
2017,586,12987.0,35.58082191780822
2017,668,11909.0,32.62739726027397
2017,565,12133.0,33.24109589041096
2017,578,12024.0,32.942465753424656
2017,569,11970.0,32.794520547945204
2017,551,11783.0,32.28219178082192
2017,516,12188.0,33.391780821917806
2017,548,9804.0,26.86027397260274
2017,582,11215.0,30.726027397260275
2017,653,11190.0,30.65753424657534
2017,609,10836.0,29.687671232876713
2017,672,11793.0,32.30958904109589
2017,552,10755.0,29.465753424657535
2017,639,11584.0,31.736986301369864
2017,527,10509.0,28.791780821917808
2017,715,10703.0,29.323287671232876
2017,629,9568.0,26.213698630136985
2017,519,10868.0,29.775342465753425
2017,567,10103.0,27.67945205479452
2017,734,9699.0,26.572602739726026
2017,676,9930.0,27.205479452054796
2017,556,9800.0,26.84931506849315
2017,500,9531.0,26.112328767123287
2017,705,10030.0,27.47945205479452
2017,769,9442.0,25.86849315068493
2017,627,9327.0,25.553424657534247
2017,751,8953.0,24.528767123287672
2017,540,8997.0,24.649315068493152
2017,755,10006.0,27.413698630136988
2017,604,9839.0,26.956164383561642
2017,525,9525.0,26.095890410958905
2017,534,9277.0,25.416438356164385
2017,591,10367.0,28.4027397260274
2017,528,9077.0,24.86849315068493
2017,680,9409.0,25.778082191780822
2017,706,8777.0,24.046575342465754
2017,616,8942.0,24.4986301369863
2017,614,7515.0,20.589041095890412
2017,650,9329.0,25.55890410958904
2017,736,8860.0,24.273972602739725
2017,678,8283.0,22.693150684931506
2017,568,8705.0,23.84931506849315
2017,712,7696.0,21.084931506849315
2017,760,8424.0,23.07945205479452
2017,624,8439.0,23.12054794520548
2017,657,8427.0,23.087671232876712
2017,648,7868.0,21.556164383561644
2017,711,8219.0,22.517808219178082
2017,597,8496.0,23.276712328767122
2017,594,7192.0,19.704109589041096
2017,517,6946.0,19.03013698630137
2017,589,7635.0,20.91780821917808
2017,766,7566.0,20.72876712328767
2017,679,7534.0,20.64109589041096
2017,774,7366.0,20.18082191780822
2017,509,7443.0,20.39178082191781
2017,783,6659.0,18.243835616438357
2017,660,7679.0,21.03835616438356
2017,532,7414.0,20.312328767123287
2017,757,6946.0,19.03013698630137
2017,621,6662.0,18.252054794520546
2017,683,6991.0,19.153424657534245
2017,746,6917.0,18.95068493150685
2017,602,7311.0,20.03013698630137
2017,558,7035.0,19.273972602739725
2017,754,6923.0,18.96712328767123
2017,733,6597.0,18.073972602739726
2017,563,6603.0,18.09041095890411
2017,612,5988.0,16.405479452054795
2017,599,6242.0,17.101369863013698
2017,655,6422.0,17.594520547945205
2017,572,6224.0,17.052054794520547
2017,611,6080.0,16.65753424657534
2017,714,6152.0,16.854794520547944
2017,595,6547.0,17.936986301369863
2017,649,6327.0,17.334246575342465
2017,592,6373.0,17.46027397260274
2017,530,6307.0,17.279452054794522
2017,775,5846.0,16.016438356164382
2017,704,5789.0,15.860273972602739
2017,518,6034.0,16.53150684931507
2017,608,6091.0,16.687671232876713
2017,677,6315.0,17.301369863013697
2017,685,5675.0,15.547945205479452
2017,636,5830.0,15.972602739726028
2017,771,5311.0,14.550684931506849
2017,628,5443.0,14.912328767123288
2017,613,5414.0,14.832876712328767
2017,675,5896.0,16.153424657534245
2017,623,5153.0,14.117808219178082
2017,637,5434.0,14.887671232876713
2017,571,5724.0,15.682191780821919
2017,682,5336.0,14.61917808219178
2017,779,5026.0,13.76986301369863
2017,596,5321.0,14.578082191780823
2017,561,5017.0,13.745205479452055
2017,537,4900.0,13.424657534246576
2017,505,4495.0,12.315068493150685
2017,661,5509.0,15.093150684931507
2017,564,5129.0,14.052054794520547
2017,555,5082.0,13.923287671232877
2017,743,4802.0,13.156164383561643
2017,684,4737.0,12.978082191780821
2017,703,5596.0,15.331506849315069
2017,664,4407.0,12.073972602739726
2017,510,4622.0,12.663013698630136
2017,687,4966.0,13.605479452054794
2017,738,4622.0,12.663013698630136
2017,617,4578.0,12.542465753424658
2017,713,4454.0,12.202739726027398
2017,690,4309.0,11.805479452054794
2017,730,4396.0,12.043835616438356
2017,717,4262.0,11.676712328767124
2017,529,4080.0,11.178082191780822
2017,673,4207.0,11.526027397260274
2017,557,4365.0,11.95890410958904
